# Выборка справочника побочных эффектов — запасной вариант, когда полный
# ChSe-Decagon_monopharmacy.csv.gz не скачан (python -m scripts.fetch_side_effects).
# Формат тот же: STITCH, Individual Side Effect, Side Effect Name.
# Составлена вручную по инструкциям производителей; полнота — у полного датасета.
STITCH,Individual Side Effect,Side Effect Name
CID000003961,C0015672,Fatigue
CID000003961,C0018681,Headache
CID000003961,C0020649,Hypotension
CID000003961,C0026821,Muscle cramp
CID000060846,C0012833,Dizziness
CID000060846,C0018681,Headache
CID000060846,C0015672,Fatigue
CID000060846,C0020649,Hypotension
CID000065999,C0012833,Dizziness
CID000065999,C0018681,Headache
CID000065999,C0231528,Myalgia
CID000065999,C0020649,Hypotension
CID005362119,C0010200,Cough
CID005362119,C0012833,Dizziness
CID005362119,C0018681,Headache
CID005362119,C0015672,Fatigue
CID005362119,C0020649,Hypotension
CID005388962,C0010200,Cough
CID005388962,C0012833,Dizziness
CID005388962,C0018681,Headache
CID005388962,C0004093,Asthenia
CID005388962,C0020649,Hypotension
CID000044093,C0010200,Cough
CID000044093,C0013378,Dysgeusia
CID000044093,C0015230,Rash
CID000044093,C0012833,Dizziness
CID000044093,C0020649,Hypotension
CID000003702,C0026821,Muscle cramp
CID000003702,C0012833,Dizziness
CID000003702,C0015672,Fatigue
CID000003702,C0018681,Headache
CID000003702,C0015230,Rash
CID000003639,C0012833,Dizziness
CID000003639,C0026821,Muscle cramp
CID000003639,C0085583,Photosensitivity
CID000003639,C0020649,Hypotension
CID000003639,C0039971,Thirst
CID000003440,C0039971,Thirst
CID000003440,C0032617,Polyuria
CID000003440,C0012833,Dizziness
CID000003440,C0026821,Muscle cramp
CID000003440,C0020649,Hypotension
CID000005833,C0012833,Dizziness
CID000005833,C0027497,Nausea
CID000005833,C0018681,Headache
CID000005833,C0026821,Muscle cramp
CID002724385,C0027497,Nausea
CID002724385,C0042963,Vomiting
CID002724385,C0003123,Anorexia
CID002724385,C0428977,Bradycardia
CID002724385,C0344232,Blurred vision
CID002724385,C0012833,Dizziness
CID000002157,C0027497,Nausea
CID000002157,C0040822,Tremor
CID000002157,C0085583,Photosensitivity
CID000002157,C0428977,Bradycardia
CID000002157,C0015672,Fatigue
CID000002157,C0344232,Blurred vision
CID054678486,C0009938,Bruising
CID054678486,C0027497,Nausea
CID054678486,C0000737,Abdominal pain
CID054678486,C0015230,Rash
CID000060606,C0009938,Bruising
CID000060606,C0011991,Diarrhea
CID000060606,C0000737,Abdominal pain
CID000060606,C0018681,Headache
CID000060606,C0015230,Rash
CID000002244,C0013395,Dyspepsia
CID000002244,C0027497,Nausea
CID000002244,C0000737,Abdominal pain
CID000002244,C0009938,Bruising
CID000002244,C0042963,Vomiting
CID000003672,C0013395,Dyspepsia
CID000003672,C0027497,Nausea
CID000003672,C0000737,Abdominal pain
CID000003672,C0018681,Headache
CID000003672,C0012833,Dizziness
CID000003672,C0015230,Rash
CID000001983,C0027497,Nausea
CID000001983,C0015230,Rash
CID000001983,C0033774,Pruritus
CID000003033,C0013395,Dyspepsia
CID000003033,C0000737,Abdominal pain
CID000003033,C0027497,Nausea
CID000003033,C0018681,Headache
CID000003033,C0012833,Dizziness
CID000003033,C0015230,Rash
CID000156391,C0013395,Dyspepsia
CID000156391,C0027497,Nausea
CID000156391,C0018681,Headache
CID000156391,C0012833,Dizziness
CID000156391,C0009806,Constipation
CID000033741,C0027497,Nausea
CID000033741,C0012833,Dizziness
CID000033741,C0013144,Somnolence
CID000033741,C0009806,Constipation
CID000033741,C0043352,Dry mouth
CID000033741,C0020458,Hyperhidrosis
CID000033741,C0042963,Vomiting
CID000004594,C0018681,Headache
CID000004594,C0011991,Diarrhea
CID000004594,C0027497,Nausea
CID000004594,C0000737,Abdominal pain
CID000004594,C0016204,Flatulence
CID000004594,C0009806,Constipation
CID000003325,C0018681,Headache
CID000003325,C0012833,Dizziness
CID000003325,C0009806,Constipation
CID000003325,C0011991,Diarrhea
CID000004168,C0013144,Somnolence
CID000004168,C0015672,Fatigue
CID000004168,C0011991,Diarrhea
CID000004168,C0004093,Asthenia
CID000004168,C0003467,Anxiety
CID000004595,C0018681,Headache
CID000004595,C0009806,Constipation
CID000004595,C0016382,Flushing
CID000004595,C0015672,Fatigue
CID000003955,C0009806,Constipation
CID000003955,C0027497,Nausea
CID000003955,C0018681,Headache
CID000003955,C0012833,Dizziness
CID000003955,C0043352,Dry mouth
CID000005819,C0030252,Palpitations
CID000005819,C0917799,Insomnia
CID000005819,C0040822,Tremor
CID000005819,C0020458,Hyperhidrosis
CID000005819,C0043096,Weight loss
CID000005819,C0003467,Anxiety
CID000005819,C0018681,Headache
CID000005755,C0917799,Insomnia
CID000005755,C0043094,Weight gain
CID000005755,C0003467,Anxiety
CID000005755,C0013395,Dyspepsia
CID000005755,C0020458,Hyperhidrosis
CID000005755,C0039971,Thirst
CID000005865,C0917799,Insomnia
CID000005865,C0043094,Weight gain
CID000005865,C0003467,Anxiety
CID000005865,C0013395,Dyspepsia
CID000005865,C0039971,Thirst
CID000005743,C0917799,Insomnia
CID000005743,C0003467,Anxiety
CID000005743,C0043094,Weight gain
CID000005743,C0013395,Dyspepsia
CID000005743,C0020458,Hyperhidrosis
CID005281004,C0006849,Oral candidiasis
CID005281004,C0019825,Hoarseness
CID005281004,C0010200,Cough
CID005281004,C0018681,Headache
CID000002083,C0040822,Tremor
CID000002083,C0030252,Palpitations
CID000002083,C0018681,Headache
CID000002083,C0026821,Muscle cramp
CID000002083,C0003467,Anxiety
CID005281040,C0018681,Headache
CID005281040,C0000737,Abdominal pain
CID005281040,C0917799,Insomnia
CID005281040,C0003467,Anxiety
CID005281040,C0011991,Diarrhea
CID000003957,C0013144,Somnolence
CID000003957,C0018681,Headache
CID000003957,C0043352,Dry mouth
CID000003957,C0015672,Fatigue
CID000002678,C0013144,Somnolence
CID000002678,C0043352,Dry mouth
CID000002678,C0015672,Fatigue
CID000002678,C0018681,Headache
CID000033613,C0011991,Diarrhea
CID000033613,C0027497,Nausea
CID000033613,C0015230,Rash
CID000033613,C0042963,Vomiting
CID000033613,C0000737,Abdominal pain
CID000447043,C0011991,Diarrhea
CID000447043,C0027497,Nausea
CID000447043,C0000737,Abdominal pain
CID000447043,C0042963,Vomiting
CID000447043,C0018681,Headache
CID000084029,C0013378,Dysgeusia
CID000084029,C0011991,Diarrhea
CID000084029,C0027497,Nausea
CID000084029,C0000737,Abdominal pain
CID000084029,C0018681,Headache
CID000002764,C0027497,Nausea
CID000002764,C0011991,Diarrhea
CID000002764,C0018681,Headache
CID000002764,C0012833,Dizziness
CID000002764,C0015230,Rash
CID000002764,C0917799,Insomnia
CID000149096,C0027497,Nausea
CID000149096,C0011991,Diarrhea
CID000149096,C0018681,Headache
CID000149096,C0917799,Insomnia
CID000149096,C0012833,Dizziness
CID054671203,C0085583,Photosensitivity
CID054671203,C0027497,Nausea
CID054671203,C0011991,Diarrhea
CID054671203,C0042963,Vomiting
CID054671203,C0015230,Rash
CID000004173,C0013378,Dysgeusia
CID000004173,C0027497,Nausea
CID000004173,C0043352,Dry mouth
CID000004173,C0018681,Headache
CID000004173,C0000737,Abdominal pain
CID000003365,C0018681,Headache
CID000003365,C0027497,Nausea
CID000003365,C0000737,Abdominal pain
CID000003365,C0011991,Diarrhea
CID000003365,C0015230,Rash
CID135398513,C0027497,Nausea
CID135398513,C0018681,Headache
CID135398513,C0011991,Diarrhea
CID135398513,C0015672,Fatigue
CID135398513,C0015230,Rash
CID000002094,C0015230,Rash
CID000002094,C0027497,Nausea
CID000002094,C0011991,Diarrhea
CID000002094,C0033774,Pruritus
CID000002094,C0003862,Arthralgia
CID000006167,C0011991,Diarrhea
CID000006167,C0027497,Nausea
CID000006167,C0042963,Vomiting
CID000006167,C0000737,Abdominal pain
CID000126941,C0027497,Nausea
CID000126941,C0015672,Fatigue
CID000126941,C0003123,Anorexia
CID000126941,C0011991,Diarrhea
CID000126941,C0018681,Headache
CID000003386,C0917799,Insomnia
CID000003386,C0027497,Nausea
CID000003386,C0018681,Headache
CID000003386,C0003467,Anxiety
CID000003386,C0020458,Hyperhidrosis
CID000003386,C0003123,Anorexia
CID000003386,C0013144,Somnolence
CID000068617,C0027497,Nausea
CID000068617,C0011991,Diarrhea
CID000068617,C0917799,Insomnia
CID000068617,C0020458,Hyperhidrosis
CID000068617,C0043352,Dry mouth
CID000068617,C0013144,Somnolence
CID000146570,C0027497,Nausea
CID000146570,C0917799,Insomnia
CID000146570,C0013144,Somnolence
CID000146570,C0020458,Hyperhidrosis
CID000146570,C0015672,Fatigue
CID000002160,C0043352,Dry mouth
CID000002160,C0013144,Somnolence
CID000002160,C0009806,Constipation
CID000002160,C0012833,Dizziness
CID000002160,C0043094,Weight gain
CID000002160,C0344232,Blurred vision
CID000003446,C0013144,Somnolence
CID000003446,C0012833,Dizziness
CID000003446,C0015672,Fatigue
CID000003446,C0085649,Peripheral edema
CID000003446,C0040822,Tremor
CID005486971,C0012833,Dizziness
CID005486971,C0013144,Somnolence
CID005486971,C0085649,Peripheral edema
CID005486971,C0043094,Weight gain
CID005486971,C0344232,Blurred vision
CID005486971,C0043352,Dry mouth
CID000003016,C0013144,Somnolence
CID000003016,C0015672,Fatigue
CID000003016,C0012833,Dizziness
CID000003016,C0040822,Tremor
CID000003016,C0004093,Asthenia
CID000000896,C0013144,Somnolence
CID000000896,C0018681,Headache
CID000000896,C0012833,Dizziness
CID000000896,C0027497,Nausea
CID000002519,C0917799,Insomnia
CID000002519,C0030252,Palpitations
CID000002519,C0003467,Anxiety
CID000002519,C0040822,Tremor
CID000002519,C0032617,Polyuria
CID000002519,C0018681,Headache
CID005280795,C0027497,Nausea
CID005280795,C0009806,Constipation
CID005280795,C0039971,Thirst
CID005280795,C0032617,Polyuria
CID000006037,C0027497,Nausea
CID000006037,C0016204,Flatulence
CID000006037,C0003123,Anorexia
